"","Date","Time","Latitude (deg)","Longitude (deg)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total radiated Energy (J)","Total Impact Energy (kt)"
"104",2021-11-08,"05:28:28",-33.8,-7.7,36,NA,NA,NA,NA,3.3e+10,0.11
"105",2021-10-28,"09:10:30",-4.1,-138.7,35.2,NA,NA,NA,NA,3e+10,0.1
"106",2021-10-21,"10:32:02",51.5,51.4,30,15.9,-14.1,-7,-1.9,3.7e+10,0.13
"107",2021-10-20,"08:41:50",13.8,-140.4,28,NA,NA,NA,NA,6e+10,0.19
"108",2021-10-20,"00:43:57",59,154.3,31.4,27.5,12.9,4.2,-23.9,2e+10,0.073
"109",2021-09-29,"10:50:59",53.9,-148,28,21.2,-3.5,-9,-18.9,1.37e+11,0.4
"110",2021-09-06,"17:55:42",-2.1,-111.8,26,13.6,-4.4,6.9,10.9,3.1e+10,0.11
"111",2021-07-30,"08:06:34",-7.8,90.1,63,NA,NA,NA,NA,1.46e+11,0.42
"112",2021-07-29,"13:19:57",42.4,98.4,26.4,14.7,-1.6,-11.9,-8.4,3.7e+10,0.13
"113",2021-07-07,"13:41:14",NA,NA,NA,NA,NA,NA,NA,3.3e+10,0.11
"114",2021-07-05,"03:46:24",44.3,-164.2,43.4,15.7,0.7,15.7,-0.5,7.4e+11,1.8
"115",2021-06-09,"05:43:59",-17.9,-55.3,NA,NA,NA,NA,NA,2.3e+10,0.082
"116",2021-05-16,"15:51:08",-52.1,-171.2,37,NA,NA,NA,NA,3.8e+10,0.13
"117",2021-05-06,"05:54:27",-34.7,141,31,26.6,9.6,-24.4,-4.6,2.1e+10,0.076
"118",2021-05-02,"14:12:49",12.3,-43.4,NA,NA,NA,NA,NA,2.5e+10,0.089
"119",2021-04-13,"02:16:47",26.8,-79.1,44.4,14.1,-2.8,12.6,5.6,2.1e+10,0.076
"120",2021-04-02,"15:52:58",71.2,106.7,40,14.1,-8.9,6.3,-9,1.37e+11,0.4
"121",2021-03-06,"08:43:06",-48.6,90.4,31.1,18.1,12.7,-4.7,12,1.41e+11,0.41
"122",2021-03-05,"13:50:01",-81.1,141.1,32.5,23.3,10.1,-8.4,19.2,3.9e+10,0.13
"123",2021-02-28,"03:47:37",9.2,-64.1,NA,NA,NA,NA,NA,2.8e+10,0.098
"124",2021-02-09,"23:27:29",75.8,-92.8,31,13.1,-5.2,6.3,-10.3,3e+10,0.1
"125",2021-02-02,"10:03:21",48.7,80.1,20,12.8,4,-6.7,-10.1,3.1e+10,0.11
"126",2021-01-31,"02:59:39",5.3,115.2,39.4,15.2,14,-5.8,1.7,2.67e+11,0.72
"127",2021-01-29,"16:12:47",38.8,-51.3,30,14.3,-14.2,1.9,-0.6,7.7e+10,0.24
"128",2021-01-25,"03:01:37",38.5,-47.6,19.1,NA,NA,NA,NA,7.5e+10,0.23
"129",2021-01-24,"07:33:43",-45,95.5,37.5,19.2,13.3,-3.7,13.3,6.1e+10,0.2
"130",2020-12-29,"20:32:22",14.9,-158.2,33,14.4,-3,10.2,-9.7,4.9e+10,0.16
"131",2020-12-28,"17:27:53",36.8,-54.7,28.3,15.2,1.5,3.5,-14.7,5.7e+10,0.18
"132",2020-12-22,"23:23:33",31.9,96.2,35.5,13.6,-2.6,5.9,-12.1,4.898e+12,9.5
"133",2020-11-28,"16:34:11",33.3,135.1,28.1,19.6,1.8,-16.5,-10.4,2.6e+10,0.092
"134",2020-11-25,"12:20:50",-30.5,-81,NA,NA,NA,NA,NA,2.1e+10,0.076
"135",2020-11-07,"21:27:04",59.8,16.8,22.3,16.7,-10.8,1.2,-12.7,1.11e+11,0.33
"136",2020-10-26,"15:09:10",-5.9,160.4,28.5,17.6,10.9,-13.8,-0.1,1.14e+11,0.34
"137",2020-10-23,"20:51:39",30,-71.9,48,NA,NA,NA,NA,8e+10,0.25
"138",2020-10-22,"17:39:33",22,-133.5,40,17.6,-9.4,14.1,-4.9,4.4e+10,0.15
"139",2020-10-21,"18:57:33",12.9,-150.2,NA,NA,NA,NA,NA,2.2e+10,0.079
"140",2020-10-21,"06:38:49",-29.7,-93.9,39,NA,NA,NA,NA,2.7e+10,0.095
"141",2020-10-19,"07:05:47",48.6,93.9,40.7,NA,NA,NA,NA,2.1e+10,0.076
"142",2020-10-18,"10:52:43",-11.4,-135.8,36,16.4,15.6,1.5,4.9,3.6e+10,0.12
"143",2020-09-18,"08:05:27",2.4,-169.7,46,11.7,10.2,2.9,-4.9,4.1e+10,0.14
"144",2020-08-30,"16:08:22",26,133.5,27.8,23.4,7.8,-21.7,3.7,6.4e+10,0.2
"145",2020-08-02,"16:36:25",-35.1,-34.2,38,11.1,0.5,6,9.3,7.4e+10,0.23
"146",2020-07-22,"02:55:40",-20,-103.8,36,NA,NA,NA,NA,2.2e+10,0.079
"147",2020-07-20,"21:25:09",-51.8,-11.2,31.6,14.1,-2.9,-1,-13.8,5e+10,0.16
"148",2020-07-12,"07:50:32",-48.7,74,29.4,18.3,-5,-13,-11.9,7.5e+10,0.23
"149",2020-05-27,"17:30:18",40.8,41.7,29.3,14.9,-6,-7.3,-11.5,5.7e+10,0.18
"150",2020-05-18,"01:11:09",-38.7,77.2,25,NA,NA,NA,NA,1.62e+11,0.46
"151",2020-05-12,"23:22:56",15.9,174.2,NA,NA,NA,NA,NA,8.3e+10,0.26
"152",2020-05-09,"09:37:15",7.2,-44.2,52.5,NA,NA,NA,NA,4.1e+10,0.14
"153",2020-05-09,"02:56:11",44.8,-131,31.2,14.5,-13,-4,-5,4.1e+10,0.14
"154",2020-04-28,"05:43:17",20.1,-109.4,NA,NA,NA,NA,NA,2.1e+10,0.076
"155",2020-04-18,"13:08:38",12.5,-49.8,NA,NA,NA,NA,NA,2.7e+10,0.095
"156",2020-04-14,"11:11:16",-65.6,-45.6,NA,NA,NA,NA,NA,2e+10,0.073
"157",2020-03-26,"23:27:56",-38.3,23.5,26.5,20.7,-10,3.2,17.8,1.24e+11,0.37
"158",2020-03-23,"16:51:51",-24.4,-67.9,25,NA,NA,NA,NA,1.33e+11,0.39
"159",2020-03-22,"06:44:29",NA,NA,NA,NA,NA,NA,NA,2.5e+10,0.089
"160",2020-03-04,"20:25:59",-53.3,90.8,24.3,19.8,-5.2,2.2,19,3.94e+11,1
"161",2020-02-28,"09:30:34",45.7,15.1,34.5,21.5,-18.2,-11.3,-2.1,1.15e+11,0.34
"162",2020-02-24,"22:21:28",3.6,-96,NA,NA,NA,NA,NA,2e+10,0.073
"163",2020-02-10,"23:48:17",28.2,76.7,41.7,31.7,-27.8,-14.3,-5.2,2.7e+10,0.095
"164",2020-01-27,"05:39:15",30.4,1.5,32.5,19.8,-2,-16.6,-10.6,4.4e+10,0.15
"165",2020-01-24,"11:13:31",28,-35.8,32,21.2,-18.6,-9,-4.7,2.6e+10,0.092
"166",2020-01-21,"20:07:44",33.1,34.3,43.3,27.4,-7.5,-23.5,-11.9,2.8e+10,0.098
"167",2020-01-17,"21:29:49",19.4,-66,14.5,15.5,-13.2,8.1,1.2,9.7e+10,0.29
"168",2020-01-16,"09:31:42",-71.7,-116.4,27.8,12.9,9.8,-4.5,7,5.9e+10,0.19
"169",2020-01-15,"06:31:39",-23.7,-125.2,31.5,NA,NA,NA,NA,1.96e+11,0.55
"170",2020-01-06,"11:03:50",-70.4,-17.5,NA,NA,NA,NA,NA,4.5e+10,0.15
"171",2019-12-21,"14:30:52",56.5,-147.6,35.5,22.2,14.9,-8.1,-14.3,6.5e+10,0.21
"172",2019-12-11,"01:19:11",47.7,161.7,37,17.8,13.7,-10.9,-3.3,3.9e+10,0.13
"173",2019-12-06,"10:19:57",-3.3,-37.7,19.5,NA,NA,NA,NA,4.6e+10,0.15
"174",2019-12-03,"06:46:27",5.6,-52.2,61.5,NA,NA,NA,NA,4.2e+10,0.14
"175",2019-11-28,"20:30:54",35.7,-31.7,35,13,-11.6,-2.5,-5.4,2.7e+10,0.095
"176",2019-11-28,"13:22:10",NA,NA,NA,NA,NA,NA,NA,2.6e+10,0.092
"177",2019-11-28,"11:55:02",-22.1,25.7,22.5,24.7,-22.8,-5.5,7.6,2.5e+10,0.089
